"","ecstart","ecend","cbstart","cbend"
"146","3372145","3372268","2143025","2143172"
"147","3375712","3375714","2146583","2146705"
"148","3406113","3406891","1747358","1748136"
"149","3431285","3431946","2190529","2191176"
"150","3432316","3432837","2191546","2192095"
"151","3433113","3433788","2192373","2193059"
"152","3455137","3455211","2229069","2229456"
"153","3468277","3468339","2236500","2236747"
"154","3500467","3500644","78140","78320"
"155","3558200","3558316","2316828","2317034"
"156","3567645","3567654","2347217","2347352"
"157","3576083","3576194","2356792","2357498"
"158","3578510","3578698","2364399","2364551"
"159","3615214","3615510","2406736","2407019"
"160","3615693","3615943","2407201","2407453"
"161","3664254","3664295","2461852","2461965"
"162","3672458","3673084","3658893","3659383"
"163","3674356","3675096","2587833","2588573"
"164","3675559","3676330","2589036","2589804"
"165","3696520","3696795","2495306","2495499"
"166","3741975","3741989","2539584","2539663"
"167","3758790","3758889","2568173","2568331"
"168","3778061","3778160","2583535","2583545"
"169","3801334","3801369","2617937","2618076"
"170","3807764","3807891","2622874","2622958"
"171","3853007","3853052","2656375","2656536"
"172","3877758","3878368","2682673","2683280"
"173","3891574","3891911","2691397","2691656"
"174","3902360","3902391","2699923","2700619"
"175","3916711","3916712","2715034","2715603"
"176","4077942","4078249","2798037","2798081"
"177","4078738","4079023","2798573","2798972"
"178","4101527","4101541","2818282","2818455"
"179","4101690","4101713","2817917","2818046"
"180","4188536","4188643","2910703","2911418"
"181","4198620","4198847","2918944","2919171"
"182","4205911","4206220","2927675","2927975"
"183","4265127","4265661","2980648","2980768"
"184","4310394","4310530","3033560","3033656"
"185","4336916","4337011","3059348","3059701"
"186","4344502","4344669","3067173","3067380"
"187","4347229","4347256","3069925","3070118"
"188","4348409","4348419","3071271","3071405"
"189","4358457","4358567","3083924","3083935"
"190","4362535","4362778","3087906","3088179"
"191","4376003","4376011","3101665","3101806"
"192","4387235","4387902","1584567","1585234"
"193","4388075","4388380","1585407","1585712"
"194","4388767","4388928","1586099","1586260"
"195","4418119","4418161","3163624","3163715"
"196","4452019","4452226","3192005","3192214"
"197","4458966","4459087","3199641","3199659"
"198","4462626","4462659","3203205","3203314"
"199","4499781","4499868","3216575","3216707"
"200","4500615","4500666","3217404","3217555"
"201","4514521","4514595","3231286","3231554"
"202","4520866","4520947","3239529","3239762"
"203","4534530","4534762","3252644","3252899"
"204","4564608","4564865","3279308","3279568"
"205","4575958","4576002","3298847","3299494"
"206","4594849","4594928","2947466","2947497"
"207","4608745","4608822","3330396","3330564"
"208","4630630","4630776","3353105","3353149"
"209","4640883","4641048","356132","356309"
"210","4643615","4643622","3370374","3371008"
"211","4650389","4650431","3377633","3377754"
"212","4687982","4688213","3413469","3413681"
"213","4689808","4690546","2587833","2588571"
"214","4691116","4691709","2589141","2589731"
"215","4701447","4701518","2521009","2521180"
"216","4748412","4748515","3485357","3485416"
"217","4762436","4762730","3499206","3499484"
"218","4770440","4770508","3512441","3512633"
"219","4779103","4779842","3521183","3521907"
"220","4783385","4783422","3525448","3525596"
"221","4820226","4820321","3563514","3564134"
"222","4836582","4836661","3578776","3578950"
"223","4838564","4838718","3580852","3580921"
"224","4862674","4862814","3605237","3605273"
"225","4882362","4882584","3640542","3640797"
"226","4883116","4883448","1713256","1713588"
"227","4905175","4905314","3674369","3674571"
"228","4906886","4906930","3676147","3676274"
"229","4942945","4943150","3719150","3719409"
"230","4949405","4949629","3726882","3727622"
"231","4954309","4954354","3736155","3736351"
"232","4958949","4959030","3740951","3741150"
"233","4975694","4975790","3771379","3771511"
"234","4987489","4987622","735672","736010"
"235","4995134","4995188","3777023","3777184"
"236","5009371","5009584","3790060","3790319"
"237","5042676","5042758","3828665","3828801"
"238","5059145","5059601","1592721","1593192"
"239","5096395","5096488","3850741","3850756"
"240","5112801","5112890","3856307","3856901"
"241","5120281","5120310","3863781","3863882"
"242","5122731","5122788","3866297","3866427"
"243","5127725","5127873","3877011","3877705"
