"","cbend","cbstart","ecend","ecstart"
"204",245919,2656529,357664,355867
"209",254191,1265684,360806,360536
"210",257905,253705,364604,360320
"212",2034929,2311722,365252,365047
"213",986177,2035170,365263,365041
"215",986793,1436006,365864,365187
"218",1436836,2312227,365978,365507
"219",576768,1436362,365984,365504
"226",262956,2521260,368881,368803
"229",315765,2171429,369822,369103
"234",1894433,2783296,371063,369744
"235",80391,1894107,373255,370737
"236",79477,80468,374169,373178
"240",2588787,3663254,395862,394187
"242",483277,3661666,395928,395802
"244",509868,2159624,399822,395798
"245",509137,509962,400559,399728
"246",346378,509369,415526,400327
"247",346759,345670,415951,414816
"248",346934,346511,416188,415703
"250",2688119,3004651,416746,416706
"251",2613202,2688043,416761,416670
"253",2322463,4204226,416863,416539
"254",349542,2322835,418837,416488
"256",354592,4286960,423574,422027
"258",391699,388746,426643,423671
"261",401646,1115433,437365,435630
"263",408461,1093819,442891,438859
"266",413238,411352,446872,444939
"268",424328,4430530,457994,455279
"269",426068,414008,460617,447636
"271",2543657,2746419,460742,460639
"272",192646,2543772,460743,460627
"274",430948,426100,466904,460786
"276",1269621,3700286,467531,467150
"277",1269086,1269993,467531,467164
"278",437098,1269458,473489,467164
"279",438169,431131,474607,467539
"282",1997379,4247396,481685,481472
"284",3588778,4324668,481688,481647
"285",846057,3588733,481690,481643
"286",684850,845960,481691,481593
"289",903326,2216978,481703,481661
"291",445174,1068407,488308,486173
"293",457328,445320,503861,488373
"296",4200554,4583244,508378,503857
"297",461861,4200375,508515,508199
"298",468247,457324,515065,503982
"299",472398,461886,520293,508639
"301",474250,2687391,522178,520541
"302",476576,472568,524552,520495
"304",312376,477116,526756,524626
"308",3659697,3663493,533135,529311
"309",3413994,3660067,533479,532765
"310",489900,3418129,537890,529297
"313",146983,3543726,538850,538309
"315",497821,490136,546687,538967
"316",501429,497019,550301,545890
"318",277703,501572,555388,550360
"321",725509,3608417,558316,558207
"322",511450,725410,560547,558217
"325",1948731,4179724,565854,565787
"327",1362523,4583244,565854,565746
"329",2540365,2656499,566918,565773
"330",522825,2540416,569532,566867
"332",222005,2424063,572622,572392
"335",543019,3271680,587830,586789
"336",337389,537517,591983,582294
"340",556006,3491888,600528,598640
"341",557825,551536,603653,596061
"342",558756,556072,604674,601879
"343",559629,558289,605980,604207
"345",1000642,3289648,607480,606873
"347",564484,4547204,610892,608120
"349",564945,586057,613780,613590
"350",280425,564630,614480,613458
"353",564801,2469145,618058,616432
"357",318689,601615,621640,618989
"358",317784,321065,622594,619274
"360",1525796,4429935,624374,624282
"361",120586,1525887,625200,624283
"364",605877,1904269,638137,634772
"365",607431,604739,640844,636993
"368",618016,610252,649324,641556
"370",170210,4510846,651159,650950
"372",624540,618237,655974,649579
"375",4589502,4591203,662997,661344
"376",631999,4589897,663379,662599
"378",636571,4589053,667879,663469
"379",637664,632181,668994,663442
"380",638701,637299,670136,668626
"382",4013003,4583218,671111,671038
"383",127779,4012931,671114,671039
"387",253363,3071314,671114,671055
"388",190618,253420,671133,671057
"390",643280,638733,679215,670239
"392",655982,3375539,691790,691097
"394",1051581,1641530,693032,692936
"397",1907232,3720067,693118,692930
"398",661324,1907435,696932,692915
"400",880873,2081841,699445,698876
"401",669055,881835,704762,698483
"402",669907,661544,705680,697193
"403",674881,669079,711805,704852
"405",675500,3004820,717039,715688
"407",677555,679508,719042,718198
"408",677779,676710,721397,718197
"412",683469,2658213,724287,723595
"415",278397,4324666,726930,726884
"417",520162,2423863,726936,726737
"419",222235,903208,726937,726824
"421",846108,3423098,726980,726706
"422",687848,845829,729911,726701
"425",1736062,1843723,732765,732681
"427",696278,3051468,737232,736901
"428",696939,691881,738082,732779
"429",696617,696861,738083,738004
"431",696506,696756,738202,738008
"434",696939,697053,738413,738243
"435",696617,696863,738414,738337
"436",696616,696542,738523,738339
"438",696504,696755,738523,738448
"443",1159154,1158278,746516,745607
"445",707757,2536041,749088,746902
"447",715194,708136,761394,749344
"449",720657,3107068,765773,763466
"450",716849,716950,766467,762067
"451",509249,716720,770811,766338
"455",4356399,4355120,777704,776410
"456",745868,4355938,781082,777243
"459",1843756,4542436,794777,782024
"460",747781,1843723,795829,794744
"462",758562,4381160,801344,799904
"464",597105,1768897,801711,801587
"467",253333,3071272,801717,801586
"472",1039735,1037761,811552,809550
"473",774325,1039034,812396,810823
"474",253419,771083,812482,809153
"475",127835,253347,812482,812410
"478",639538,3071389,812498,812410
"480",596978,4583119,812528,812403
"482",774764,1362515,812959,812403
"484",262933,3151555,818840,813848
"487",225562,2521253,819047,818778
"490",2518054,4037267,819047,818992
"492",781652,2518224,819060,818992
"495",262933,2521051,819126,818985
"497",780631,2521173,819141,818985
"499",781448,781577,819143,819064
"500",780923,781369,819144,819064
"502",262933,780843,819251,818778
"505",780729,2521253,819364,819189
"508",2817922,2818407,819366,819297
"509",262933,2817988,819461,819301
"512",780631,781147,819476,819399
"516",781016,2521467,819629,819457
"520",781016,2521253,819784,819399
"524",781016,2521311,819938,819612
"528",781723,2521311,820008,819767
"530",357491,2521311,820087,819921
"533",1789005,2842503,824345,820015
"535",786694,2740992,824832,823927
"536",620047,781989,835639,820137
"537",277705,620082,836356,835604
"539",799581,786843,850176,836363
"542",812889,3220408,863715,859247
"544",815549,1994052,866456,866374
"545",819747,813076,873341,863983
"547",826109,819872,880720,873377
"548",278391,821545,883277,876159
"551",1410514,2713347,886601,886034
"553",832070,3964703,886787,886480
"559",903311,2423866,895056,894869
"561",684849,4324608,895058,894955
"563",386589,3423098,895058,894835
"565",1177030,1185108,895080,895011
"567",1997730,3422748,895386,895185
"568",848281,1997656,897286,895312
"570",1010602,2062596,905671,904081
"571",1010548,1010482,906466,905551
"573",857590,3481808,906663,906422
"576",192719,2689663,906784,906728
"577",192647,192764,906918,906738
"579",1007827,2543731,906935,906844
"581",1799138,2689604,906940,906849
"582",886042,1799047,908735,906848
"583",859948,885924,908744,908617
"584",857551,859235,908804,908031
"587",859238,886065,911250,910526
"588",863579,860110,914754,910379
"590",1558449,4193418,918705,915544
"592",1305481,2276755,918828,918592
"594",386646,3703402,919545,918592
"597",872800,1557621,923437,919481
"599",878601,3704047,925438,923250
"600",662842,876710,936597,923529
"602",860028,879375,940596,934142
"606",1184963,2217030,950222,950008
"607",899620,1185170,954215,950015
"608",902904,887410,958582,941974
"609",900723,902316,958810,957994
"610",900487,899842,960937,957933
"613",846055,3422980,961348,961245
"615",1185156,4324608,961351,961247
"616",684857,1185059,961358,961254
"619",578549,1226830,978233,976087
"621",1429680,1423252,999701,977857
"624",583098,1635791,1001986,1000683
"627",582053,1635038,1001988,1001289
"631",2733314,3602339,1023578,1020155
"632",2732089,2733644,1024443,1023251
"633",925543,2732279,1024977,1024253
"635",1097108,1097525,1025957,1025834
"638",1097659,1097344,1027537,1025834
"639",926076,1097517,1027635,1027395
"642",934394,1177133,1038534,1033580
"644",939358,934655,1043554,1038763
"646",1660488,1660598,1047758,1045363
"648",944896,1662428,1049258,1047220
"653",2614386,3260133,1057840,1055105
"654",960082,2614610,1063904,1057616
"657",684804,3702382,1071918,1071878
"659",980787,960233,1084676,1064029
"660",983042,971638,1087009,1075507
"661",984316,980868,1088363,1084839
"663",2034796,2311715,1090183,1089847
"664",1545866,2035173,1090704,1089845
"665",576759,1545793,1090809,1090631
"667",260060,1545919,1090829,1090760
"669",1436893,2312229,1090869,1090331
"671",989090,2034578,1092984,1090330
"673",990519,3007858,1098196,1094221
"675",1416013,1652623,1102915,1098313
"678",1121254,1422292,1109532,1107542
"680",578550,1423249,1116111,1115731
"682",1429392,1724133,1136819,1130055
"684",1432075,1635791,1138677,1138155
"686",1432946,1635038,1139455,1138761
"687",583095,1432313,1139455,1138816
"688",582049,582989,1139456,1139349
"692",993224,2286340,1146743,1142434
"694",857477,1004667,1152673,1146861
"695",856685,857347,1152730,1152543
"698",807718,1011990,1172435,1153916
"699",571395,807866,1172674,1172287
"701",1031582,1030051,1175451,1173561
"703",595304,2037184,1184178,1182673
"706",2543733,2689663,1184922,1184869
"707",192719,2543771,1184925,1184884
"708",192647,192764,1185059,1184879
"711",1799132,2689604,1185075,1184990
"712",1007829,1799047,1185078,1184989
"715",1063871,2358725,1200013,1193281
"717",1068245,1316035,1206368,1206204
"719",1080794,1074227,1213469,1206493
"722",3372116,3370376,1222093,1218294
"724",4506189,4504070,1223837,1221662
"725",925978,4505287,1224836,1222935
"727",1105281,1096984,1232467,1224151
"728",1108977,1103780,1236182,1230969
"730",1113339,1497667,1240422,1237148
"732",1134558,1113532,1261796,1240514
"734",1145892,1134716,1273083,1261796
"735",1165685,1141218,1294199,1268390
"737",1173985,3826969,1302362,1299628
"739",1185073,1513209,1304386,1304296
"740",845973,1185153,1304388,1304306
"742",1180334,3602336,1307589,1304306
"744",1177054,1181772,1312725,1307665
"745",846055,1177131,1312725,1312648
"747",684850,4324662,1312728,1312678
"749",903326,3602281,1312740,1312670
"752",278697,4246944,1313028,1312964
"754",895109,1513485,1313054,1312459
"756",1190526,1183629,1319441,1311201
"757",1194300,1187118,1323221,1316023
"759",1196462,1211413,1325723,1325471
"761",1641816,2543769,1331083,1327886
"762",1051242,1642065,1331111,1330834
"765",597105,2656494,1349290,1349206
"767",803449,3071312,1349292,1349206
"769",1879403,4583203,1351953,1349206
"770",1878764,1880770,1353633,1350584
"771",1876915,1879349,1354778,1353046
"772",1874308,1877258,1357448,1354435
"773",1872035,1876832,1359784,1354928
"774",1865725,1874068,1364936,1357741
"775",1864782,1870216,1367375,1360441
"776",1863834,1865597,1368375,1366560
"777",1490285,1864734,1369260,1367474
"779",1850853,1863818,1372821,1368642
"780",1845030,1852524,1378578,1371134
"781",1841502,1850693,1380854,1372910
"783",1825058,3490154,1389118,1382209
"784",1823449,1833227,1390064,1380949
"785",1816411,1824371,1397045,1389142
"786",1813796,1823285,1399436,1390119
"788",192764,2543657,1399695,1399576
"792",1813420,2689514,1399974,1399555
"793",1805321,1813679,1407073,1399716
"794",1799150,1812326,1415617,1400074
"795",1795246,1802777,1419375,1412003
"796",1792268,1798987,1422483,1415633
"798",2740880,2740574,1426180,1425874
"799",785891,2740803,1426189,1426103
"800",43861,786204,1433820,1425876
"801",42392,45750,1435284,1431919
"803",39627,1791818,1437092,1423000
"805",1771070,1779425,1444164,1435624
"806",1768898,1772226,1446415,1443006
"807",629489,1770970,1449746,1444305
"811",1169982,2943976,1458363,1456836
"814",1755412,1938653,1461624,1460352
"815",1658400,1757705,1468950,1459332
"817",1214023,1755239,1475955,1473722
"820",2017676,2543653,1496747,1483363
"821",228934,2017517,1501717,1496588
"824",1746434,3946934,1501724,1501661
"825",1746515,1746511,1501811,1501647
"826",1746360,1746592,1501885,1501734
"828",1737430,3938390,1509359,1508782
"829",247141,1744832,1510441,1501960
"832",1708575,3641331,1531749,1527465
"833",1708575,1708708,1531842,1531619
"834",1708575,1708804,1531935,1531619
"835",1708575,1708900,1532028,1531619
"836",1708959,1708998,1532121,1531617
"837",1708670,1709095,1532122,1531988
"838",1708766,1709095,1532122,1531709
"839",1708862,1709095,1532122,1531802
"840",1704913,1709095,1535790,1531895
"841",1704496,1728976,1536227,1511720
"843",1702191,3580575,1538536,1536608
"844",1700725,1704351,1539083,1536340
"846",1686708,4347326,1543854,1542187
"847",1682881,1691361,1547707,1539200
"848",574580,1686602,1549727,1543986
"850",986166,2311645,1549972,1549675
"851",259395,985893,1550065,1549675
"852",260044,259111,1550753,1549754
"857",1546030,2035250,1550811,1549669
"859",1681695,2312234,1552482,1550288
"860",1679409,1682882,1554074,1551297
"861",1674972,1681007,1558623,1552478
"863",1948739,4583244,1558787,1558662
"865",1671256,3612833,1562425,1558864
"867",1665275,2522441,1568391,1564098
"870",944816,2540312,1573011,1569157
"872",940948,1660488,1576864,1574425
"873",941134,944524,1579224,1573300
"875",1657956,1662980,1579509,1576951
"876",1655889,1665119,1581566,1572275
"877",1655348,1657815,1582125,1579602
"878",1652747,1655673,1584637,1581800
"879",1631049,1655242,1585878,1582148
"882",2267518,4553435,1587333,1586594
"883",1625348,2266590,1591716,1586405
"884",1068223,1630898,1592216,1586084
"887",1624147,1625185,1593680,1592491
"888",1622646,1624569,1594166,1593259
"889",1621362,1622955,1595571,1593850
"890",1620269,1622380,1596700,1594553
"891",1619023,1621137,1598028,1595832
"892",1616944,1619959,1600176,1597092
"893",1611971,1618908,1603924,1598190
"894",1608141,1615639,1605067,1600245
"895",1545792,1609072,1606654,1604135
"897",576287,2034096,1606959,1606463
"900",259121,1436833,1607457,1606478
"904",575807,2312704,1607463,1606463
"907",1032151,3142408,1614892,1613172
"909",1556587,4472824,1644706,1626009
"910",1553944,1557044,1647535,1644249
"911",1552833,1556389,1648799,1645077
"913",1546295,4081259,1654641,1648944
"914",1545780,1551987,1655421,1648902
"916",985968,2034096,1656178,1655218
"917",259112,986963,1656185,1655189
"921",2035244,2312761,1656262,1655161
"922",1279332,2034770,1660574,1655833
"926",1534117,1544104,1669128,1659165
"927",1524539,1534872,1672090,1668373
"928",1520960,1525955,1676033,1670674
"929",1518986,1524388,1678172,1672565
"930",1517638,1520097,1679557,1677062
"932",1515562,4353077,1688274,1686266
"933",1509924,1517558,1689904,1686266
"934",803384,1511395,1690958,1688426
"935",597042,803448,1690958,1690895
"937",1508849,3071396,1693620,1690896
"938",1504954,1509147,1697432,1693322
"939",1502454,1508732,1698209,1693649
"940",1499025,1503153,1701494,1697511
"943",1110178,4531797,1710558,1701653
"945",1495207,1498530,1714683,1709808
"947",1970150,3217856,1716622,1716218
"950",1492350,4593191,1717635,1715934
"951",379929,1495156,1719131,1714810
"952",278314,378472,1725825,1717692
"955",1490837,1491539,1730418,1729640
"956",1487216,1491432,1731289,1729823
"957",1482270,1487948,1736027,1730557
"958",1436991,1486955,1745916,1731342
"959",1435187,1446201,1746563,1736633
"961",1411013,1652462,1748244,1747053
"962",1407984,1412204,1751198,1747053
"965",1971596,4592897,1751810,1751671
"966",1969895,1971433,1751810,1751647
"968",1405964,3217892,1753420,1751697
"969",1397289,1406538,1756605,1752846
"970",1394918,1400246,1757776,1753653
"972",317439,4474017,1768932,1768036
"976",1384083,4054325,1780357,1776591
"978",1366934,4203903,1783567,1782770
"979",1351828,1369950,1788966,1780526
"981",1007751,2543772,1791959,1791904
"983",1346978,1351068,1796280,1792107
"984",1333726,1349147,1809510,1794090
"985",803363,1346609,1809622,1796666
"986",597021,803448,1809622,1809537
"988",1948655,3071396,1809622,1809538
"989",1326818,1948739,1816713,1809538
"990",1316494,1333702,1825000,1809738
"991",1068239,1324718,1825716,1816780
"993",1313829,1316129,1828722,1825464
"994",303884,1314659,1829167,1827892
"996",1306821,1313781,1834691,1829183
"997",868894,1308948,1836150,1832565
"999",3702763,3702156,1836516,1835906
"1000",1558548,3702681,1837132,1836434
"1001",868012,1558240,1837145,1836825
"1003",3617415,3703271,1837153,1837015
"1004",2276741,3617532,1837160,1837036
"1005",867839,2276884,1837318,1837017
"1007",1394377,2277274,1840071,1837452
"1008",1393504,1394568,1840950,1839880
"1009",1300840,1393606,1841574,1840848
"1010",1295445,1306802,1845807,1835591
"1011",1293473,1299245,1846675,1842004
"1013",639538,4179649,1846835,1846739
"1014",127851,639607,1846835,1846766
"1018",253465,4583118,1846865,1846739
"1024",2114316,2798479,1848710,1847299
"1025",110966,2113845,1851505,1848239
"1027",1287064,4175472,1852825,1852569
"1028",1286886,1287337,1852825,1852559
"1030",1287361,4175472,1853118,1852858
"1031",1286702,1287632,1853124,1852849
"1033",1286702,1287480,1853298,1853174
"1034",1287361,1287005,1853467,1853000
"1035",1286702,1287480,1853473,1853348
"1036",1286709,1293031,1853640,1847174
"1037",1286887,1287183,1853640,1853174
"1038",1287065,1287183,1853640,1853348
"1041",1542590,1535949,1862156,1855509
"1042",1279741,1537352,1862279,1856918
"1045",1273908,2586790,1868004,1865428
"1046",1273248,1279357,1868674,1862542
"1047",1270749,1273599,1870353,1868323
"1049",1263525,3035429,1875897,1873612
"1050",1262042,1269010,1877479,1870416
"1051",1256631,1263530,1883001,1875994
"1053",1037586,3142888,1890307,1886089
"1054",772391,1031917,1891326,1884599
"1055",772911,771448,1891846,1890383
"1060",3671205,3670058,1896662,1895509
"1061",1245715,3671152,1896752,1896609
"1062",1243161,1247272,1898646,1895195
"1063",1240340,1244973,1901540,1896854
"1065",1232468,4266438,1909073,1902025
"1066",1227703,1239950,1911972,1901604
"1067",1224277,1229260,1913902,1910436
"1072",2970809,3259648,1927671,1923380
"1073",2137917,2970923,1928045,1927557
"1074",1907120,2138588,1933578,1927374
"1075",91516,1896750,1935245,1923196
"1077",1638644,3720251,1935736,1935557
"1078",1051484,1638467,1935736,1935559
"1079",657280,1051618,1935770,1935602
"1083",1922950,1908256,1951320,1936556
"1085",304224,4534729,1958788,1956482
"1088",391708,2171351,1962863,1962785
"1091",316486,1094322,1962865,1962785
"1094",1415951,1639049,1966734,1965532
"1096",1928841,1923102,1973858,1968051
"1097",1929795,1926799,1974814,1971816
"1098",1756645,1929065,1983442,1974086
"1102",1954411,1944347,2000787,1989055
"1104",667980,1958437,2004744,2000942
"1105",666818,668072,2005905,2004652
"1106",250061,667806,2009885,2004918
"1109",1970150,3217857,2015577,2015174
"1111",1493301,4593191,2015616,2014889
"1113",1978474,1971144,2022349,2014870
"1116",1988516,1986886,2029110,2027201
"1117",1288736,1988222,2031748,2028816
"1118",110910,1288671,2031754,2031683
"1122",4392472,4392435,2035661,2035586
"1123",4392583,4392547,2035661,2035586
"1124",1995485,4392658,2039029,2035586
"1127",2424053,3423118,2040932,2040691
"1128",684847,2423863,2040932,2040742
"1130",1185153,3907809,2040932,2040834
"1132",903326,4324604,2040947,2040827
"1133",846247,903210,2041124,2040831
"1135",2001885,1997061,2045562,2040611
"1136",2002359,2000440,2047904,2044104
"1142",2028029,2012701,2071467,2056009
"1143",2033087,2019097,2076536,2062545
"1144",2033373,2028219,2076883,2071654
"1145",1545793,2033293,2077804,2076803
"1147",986432,2312740,2078098,2077578
"1148",576287,986999,2078098,2077553
"1149",259251,576759,2078521,2077629
"1151",259112,986174,2078686,2078443
"1154",1435760,2033820,2078765,2077348
"1156",1907393,2311930,2079392,2078451
"1157",657334,1907239,2079392,2079238
"1161",1638868,3720161,2079638,2079325
"1162",1230726,1638304,2081619,2079074
"1165",2059930,2062232,2083328,2083221
"1166",2058022,2059845,2083329,2083243
"1169",2059930,2062145,2084298,2084104
"1170",2044631,2059846,2084301,2084214
"1172",445073,2058132,2090561,2084189
"1175",2044525,2059930,2094260,2094157
"1177",2059930,2062339,2096073,2094157
"1179",2044631,2062236,2096076,2095973
"1181",855666,2058129,2097156,2095970
"1184",2570904,4117360,2127074,2115597
"1185",2568592,2571518,2128435,2126463
"1187",2079410,2575796,2134031,2130669
"1188",2080593,2079042,2135288,2133664
"1189",880990,2079456,2136937,2134149
"1192",1750768,4290144,2138499,2138408
"1193",904695,1750547,2141303,2138278
"1195",1359110,2082792,2147120,2144300
"1198",2097221,2089918,2156747,2149340
"1202",3972722,3974380,2178385,2175767
"1203",1291484,3973523,2179838,2177570
"1206",1043382,2118876,2200234,2184157
"1208",1045672,1044291,2202519,2201132
"1212",2144576,2139756,2209840,2204988
"1216",2153488,3194862,2214079,2213908
"1218",2159865,2588355,2217029,2216294
"1219",2161424,2159453,2218605,2216619
"1220",2156758,2160948,2220116,2218129
"1223",2164997,4636250,2225258,2224798
"1224",2167212,2153607,2231228,2213868
"1225",2169612,2165571,2234913,2229587
"1229",2191558,2186842,2246999,2242134
"1231",2196333,2192156,2251772,2247561
"1233",1213858,2211203,2256569,2251991
"1234",846055,1214051,2258507,2256376
"1235",386588,846009,2258510,2258461
"1238",903331,2540308,2258527,2258409
"1241",2226354,2219692,2267937,2261173
"1243",2229061,2226510,2270662,2268003
"1245",2236499,2229450,2283862,2270727
"1247",3733421,4309569,2285261,2285082
"1249",1983872,4452367,2285266,2285163
"1251",1984966,3935181,2286363,2285048
"1253",2240439,2236747,2287703,2283942
"1255",1799047,2689518,2287795,2287708
"1256",192717,1799129,2287796,2287712
"1258",1007737,2543653,2287799,2287721
"1260",192764,2543733,2287905,2287862
"1264",377784,2977104,2292026,2288632
"1268",1897716,3258325,2293267,2292727
"1270",2246978,3259581,2298751,2293980
"1271",276204,2244778,2299451,2296551
"1272",275978,276253,2299701,2299402
"1274",767406,2247074,2304105,2298901
"1276",78450,4143822,2308555,2304768
"1279",2266025,3837004,2311299,2307777
"1281",868140,2267703,2320739,2311381
"1284",1557451,3703446,2321591,2320566
"1286",2282845,2270720,2326761,2314550
"1288",3708614,3982734,2330832,2330753
"1289",2286330,3708683,2330872,2330763
"1290",582894,2282940,2331574,2327474
"1292",573913,2471105,2339591,2334041
"1296",2298741,4292374,2354767,2350002
"1297",2304362,2291391,2360522,2347405
"1298",2034929,2298740,2365739,2354891
"1299",1436071,2035247,2365739,2365439
"1300",576011,1435760,2365741,2365443
"1301",259324,575789,2365746,2365504
"1303",260040,576288,2366519,2366057
"1305",986952,1545792,2366552,2366343
"1307",1436913,2034577,2366598,2366059
"1309",2316827,2306961,2370644,2360749
"1311",2319931,3352118,2373648,2372125
"1314",2339496,3165658,2376423,2376023
"1315",2340276,2336810,2381025,2373734
"1317",277707,2344848,2383771,2381382
"1319",2349866,2347384,2387387,2383798
"1320",2356708,2349657,2394298,2387178
"1322",2364397,2362444,2402443,2395865
"1323",2365527,2358079,2403576,2396077
"1324",2382506,2364555,2420558,2402598
"1327",192647,2390047,2427557,2424353
"1329",2406733,2605561,2441160,2428725
"1331",3262938,3418191,2448682,2441877
"1332",2416888,3263054,2451356,2448566
"1334",173502,4027603,2451465,2451376
"1336",4094538,4094534,2451466,2451376
"1337",4094354,4094626,2451466,2451376
"1338",2418597,4094442,2453096,2451376
"1339",2421243,2416996,2461035,2451496
"1341",1997379,2421718,2462445,2461196
"1342",684850,1997186,2462451,2462252
"1345",278690,3422983,2462795,2462342
"1348",900490,2427016,2466193,2464498
"1352",2440255,3718034,2485908,2482854
"1353",2443761,2428712,2491993,2474327
"1355",277744,2443913,2497358,2492067
"1358",585180,2464212,2506540,2503722
"1360",127837,4179649,2513670,2513588
"1363",597021,803449,2513673,2513587
"1365",253424,3071396,2513673,2513589
"1368",2495306,4583117,2514054,2513587
"1369",2495575,2495049,2514403,2513796
"1370",2498432,2495496,2517381,2514325
"1372",2510858,4618117,2520362,2517884
"1374",2511311,3147969,2523642,2522292
"1377",780772,2626923,2529006,2526750
"1380",2518231,2521113,2529013,2528951
"1381",225497,2518155,2529016,2528937
"1383",781060,4037335,2529020,2528938
"1385",780772,2521235,2529124,2528951
"1388",2518118,2520993,2529133,2529069
"1390",2518054,2521235,2531899,2529069
"1391",780840,2518109,2531912,2531844
"1394",225578,2521173,2531915,2531837
"1397",225562,4037267,2532020,2531844
"1400",2518054,4037267,2532020,2531965
"1401",780841,2518224,2532034,2531844
"1404",2518054,2521051,2532137,2531837
"1405",225562,2518224,2532137,2531965
"1408",2518169,4037267,2532137,2532082
"1411",262933,2520931,2532217,2531958
"1413",780918,781068,2532230,2532075
"1414",780631,780765,2532232,2532075
"1418",781723,2515622,2532300,2526537
"1419",340035,781577,2532387,2532155
"1423",1669568,2842503,2533242,2532307
"1425",2536387,3106778,2547213,2533739
"1426",2537203,2521467,2548371,2532213
"1427",2537691,2536401,2550955,2547572
"1428",2532553,2537342,2552421,2550606
"1430",2217008,2538672,2553322,2551651
"1431",386588,2216911,2553322,2553225
"1434",2543644,4109460,2556557,2555797
"1437",2554126,2948254,2562106,2560693
"1438",2558698,2549665,2568631,2557647
"1442",9167,2572165,2583456,2575217
"1445",2583537,3081629,2587723,2583503
"1446",2549386,2581733,2589152,2585920
"1448",1799047,2689518,2589258,2589170
"1449",192717,1799139,2589259,2589165
"1452",2543771,2543657,2589363,2589188
"1453",192764,2543733,2589368,2589325
"1455",1798984,2689611,2589383,2589325
"1457",3030281,3029050,2590875,2589644
"1461",482851,3660409,2595196,2593642
"1463",481306,3662547,2596735,2595780
"1465",2591077,3417173,2597128,2595784
"1466",2592962,2583576,2599049,2589627
"1468",542494,2593992,2606443,2599227
"1471",2629248,2618076,2621110,2609861
"1472",2629487,2621117,2621409,2612994
"1473",113969,2629253,2625036,2621174
"1475",127776,2630960,2634203,2622807
"1480",597105,1768900,2634223,2634097
