"","cbend","cbstart","ecend","ecstart"
"135",3036625,4562331,92145,92103
"137",2137604,3342480,92145,92106
"139",60117,4638952,92146,92106
"141",1575232,2805723,92149,92104
"142",603943,1575275,92150,92106
"143",22134,603988,92152,92106
"145",3105873,3107757,93954,92163
"146",2918557,3105931,95309,93896
"148",3008431,4218558,95321,95245
"150",3118047,3517479,98118,95244
"152",3103590,4363517,100635,99222
"155",435534,4446571,101415,101328
"157",3908316,4225301,101418,101384
"158",2217541,3908349,101419,101385
"160",3908228,4103769,101420,101326
"161",3095919,3908316,108264,101325
"163",3088589,3969066,115506,109240
"165",2355859,3623065,116275,116191
"167",3517479,4218482,116278,116201
"168",1717475,3517396,116278,116195
"171",2918732,3957799,116387,116194
"174",3616965,4630779,117978,117241
"175",2517859,3616997,117985,117946
"176",2106984,2517896,118025,117948
"180",2629305,4389039,118025,117991
"181",480453,2629342,118025,117988
"185",3082387,3787987,118062,117990
"187",522165,3823754,118063,117949
"191",597916,3998094,123414,123381
"194",2912196,3012508,123415,123381
"195",1315516,2912230,123417,123381
"198",2894272,3787985,123419,123379
"202",2088369,3773995,123730,123379
"204",3066686,3088565,138049,117239
"205",2012115,3075677,138098,129061
"207",1119987,3979098,143402,138059
"209",3046928,3066553,157852,138200
"210",1024319,3053655,161375,151126
"213",3042837,3046798,161903,157857
"214",496912,3043248,170849,161492
"218",1315418,4233879,170852,170814
"219",134937,1315476,174311,170791
"221",3378626,3378171,174706,174251
"222",2411004,3378567,174710,174647
"224",3025207,3025420,179455,178933
"225",3025872,3025717,179702,178936
"226",3025443,3026029,179819,179545
"227",3022518,3026028,182438,179243
"228",3021359,3042701,184085,162268
"229",3017041,3022338,188454,183103
"230",3016524,3021310,189943,184194
"233",2858933,3788017,198193,198159
"236",2876529,3851499,201404,201361
"239",3006699,4525503,203869,202580
"240",2429827,3008446,205555,202120
"242",1054105,3448430,206927,205464
"247",1090349,4587461,212425,212386
"249",2401202,3866732,212453,212391
"250",318983,2401264,212472,212391
"252",1999627,4425369,212473,212392
"256",3347818,3654333,212473,212385
"257",3311015,3347856,212473,212435
"259",3347931,3347913,212473,212435
"260",22086,3347969,212473,212435
"262",2319926,2401198,212474,212391
"263",1999530,2319840,212474,212389
"266",2994315,3839925,215314,212433
"267",2993360,2998591,216357,211029
"268",1371545,2994310,223550,215411
"269",108956,1371500,223550,223505
"271",2629340,3549409,223551,223515
"273",22085,4155300,223552,223514
"280",1575276,3969028,223552,223516
"282",696729,2539653,223552,223515
"284",2576239,4576901,223553,223516
"285",480490,2576322,223553,223456
"288",602181,3914408,223553,223515
"292",3780546,4380761,223553,223516
"293",3602425,3780584,223554,223515
"294",2984797,3602464,224783,223515
"295",2981852,2993252,227669,216392
"298",1315551,4491513,227764,227705
"306",3075768,3462863,227767,227733
"309",3462828,4596142,227770,227732
"311",2979878,3462920,229718,227733
"313",3715760,4557032,240561,240524
"314",594380,3715722,240583,240523
"316",1575112,1575275,240600,240523
"321",2969784,4380707,240602,240506
"323",2629250,3823797,240602,240523
"324",480407,2629350,240604,240512
"327",4276598,4277632,245548,245162
"328",2576405,4275881,247309,244831
"330",696813,3851565,247309,247245
"334",1575193,3823867,247313,247238
"337",3347871,3348061,247313,247228
"338",3347927,3347913,247313,247271
"339",2976509,3347969,247314,247271
"340",2969226,2976468,247787,247273
"341",2965616,2979808,252871,237211
"343",3817899,4218574,252996,252899
"344",3183669,3817784,252996,252881
"345",1717392,3183787,252997,252879
"347",3517395,4482321,252998,252879
"348",243315,3517514,252999,252879
"350",2964673,4562462,253944,253008
"352",2355789,3008525,254059,253967
"355",1717488,3517401,255134,255043
"357",2355890,3008431,255149,255044
"359",2959581,2963698,259201,255164
"360",2944810,2961638,274003,257098
"361",2056092,2959539,275948,259300
"364",2470824,3865861,280000,279958
"367",3313670,3569657,280038,279953
"368",2217426,3313589,280038,279959
"373",226509,3914453,280039,279958
"376",746530,3534474,280039,279958
"379",454578,3210269,280039,279957
"382",3715720,4631761,280040,279956
"383",2475857,3715758,280041,280002
"384",22082,2475935,280042,279958
"388",4017481,4116132,280047,280002
"390",1968403,4707054,287635,285536
"392",354913,2078433,287645,287591
"396",185348,4327411,290770,288879
"398",95385,3646910,290770,288854
"401",374637,374588,291055,290984
"404",2798343,2944714,291775,275990
"405",96224,2801142,291775,288970
"410",96851,4325340,292504,291113
"416",2797715,4324700,292504,291862
"417",2757869,2798358,294384,291862
"420",98644,4324046,294384,292601
"423",2795655,3643508,294642,292601
"425",98807,2926470,294644,294514
"427",4322102,4321989,294645,294512
"428",2757704,4322233,294646,294514
"429",1612590,2757836,294891,294514
"430",98931,1612534,294906,294835
"433",1612590,2757723,304330,294764
"435",98930,2755511,304344,298087
"438",83233,3647789,323242,313046
"440",1717508,4218493,323304,323205
"443",3957915,4482440,323304,323187
"444",2961643,3957805,323304,323193
"446",3623193,3817895,323312,323193
"447",1828383,3623075,323312,323194
"450",817832,4033471,340901,331379
"451",817111,818056,341514,340677
"455",2355788,2749139,355977,351726
"458",3008423,3623195,355988,355860
"459",2742086,3008548,358838,355862
"460",1244900,2744882,360622,356064
"461",543808,1244809,365249,360531
"464",543030,1977802,365976,365047
"467",1374652,1461996,365979,365048
"468",374331,1373660,368859,365047
"474",817109,2741967,369335,360957
"475",762808,816878,370606,369104
"477",3074138,4134308,373256,370727
"478",3075052,3074065,374170,373183
"481",3930740,3932786,383230,381172
"482",3929749,3931970,384218,382000
"483",3929097,3929900,384885,384067
"484",2633194,3929208,394127,384771
"485",311817,2633114,395885,394047
"487",2494832,2634831,396038,395803
"489",2468155,4314792,399823,395803
"490",2468881,2468063,400555,399731
"492",1186760,3568009,411180,400471
"494",533356,2630456,416858,414814
"495",225312,532994,416869,416491
"498",2268772,4580153,418900,416503
"500",2912230,3012543,418901,418866
"501",222027,2912197,418902,418868
"503",2777813,4631808,418902,418869
"506",2626456,4437727,418933,418865
"508",2621739,3543596,423578,422028
"509",2601327,2629186,424731,416117
"510",2600826,2602384,425251,423675
"511",2592588,2601061,433497,425012
"512",1872524,2599711,436745,426378
"514",2585328,2592462,437437,433543
"515",2576493,2585866,444890,436897
"517",3377878,3530799,455433,451074
"518",2564462,3378031,457997,455280
"519",2558365,2576227,458791,446246
"520",2557750,2559126,459467,458030
"521",2556455,2558341,460619,458876
"523",2551996,3663829,465214,460640
"524",2551537,2556427,466909,460785
"525",299619,2551885,473534,466561
"527",602216,3065365,473536,473501
"531",3780581,4712510,473536,473500
"533",524888,4361189,473536,473503
"536",2853410,4208429,473536,473502
"538",3022419,3613235,473537,473500
"540",3875061,4084070,473541,473503
"541",3602609,3875103,473590,473499
"543",3036583,3799963,473591,473501
"546",108878,4208483,473591,473501
"549",2342145,3901710,473593,473502
"550",746444,2342065,473596,473501
"552",2049950,3824762,473603,473504
"555",3611263,4321453,481689,481652
"557",2142488,4473520,481691,481604
"558",1619527,2142585,481692,481594
"561",461586,2606331,481692,481592
"563",1802183,2615325,481698,481648
"564",1017898,1802286,481701,481595
"567",640453,2088275,481705,481595
"569",212702,1968773,486219,486132
"573",1063432,4168349,486220,486138
"575",603988,2537549,486220,486138
"578",2475860,4278191,486220,486183
"579",702951,2475935,486220,486138
"581",60157,3951100,486220,486132
"585",633454,4616864,486220,486181
"587",1043094,3799881,486221,486139
"589",3636451,3799966,486221,486138
"591",2576240,3823875,486221,486138
"592",696729,2576319,486221,486138
"595",2180492,3342518,486221,486182
"597",4576937,4639041,486221,486135
"598",3616913,4576894,486222,486178
"599",1149273,3616994,486222,486139
"601",3534391,3968987,486222,486138
"602",2742058,3534474,486222,486138
"604",2137563,3742925,486222,486139
"606",3735164,4171401,486222,486138
"607",524853,3735125,486222,486183
"610",226506,4380808,486224,486138
"613",3634620,4552833,486231,486185
"614",602162,3634705,486240,486139
"616",2525412,2539636,503861,486229
"619",83175,4482307,503986,503851
"621",2520816,2767198,508566,508193
"624",22085,3534426,511666,511632
"626",997376,4380759,511667,511632
"629",3022457,4638985,511669,511632
"632",2509177,4017439,520285,511632
"633",226497,2520820,520866,508640
"635",3355518,4106036,522275,522226
"637",2504919,3865893,524548,522224
"639",2636053,2633019,532369,529314
"640",312987,2634604,532399,530920
"642",3417556,4316640,537540,529296
"643",3217011,3417281,538739,537265
"644",2485401,3216584,540805,538312
"646",2873930,4118289,545855,545820
"649",3347800,3411789,545858,545819
"653",2319843,3347931,545900,545819
"654",1999713,2319925,545900,545819
"657",1999617,4155250,545900,545819
"659",2976411,3313670,545901,545819
"660",1815596,2976504,545901,545819
"663",3012594,3316479,545906,545820
"664",2479448,3012508,546689,545819
"666",696693,4116168,546803,546768
"668",60122,2863879,546803,546766
"670",3561969,4116217,546803,546768
"671",3530292,3561934,546805,546768
"673",3087812,4643176,546806,546768
"674",2823590,3087774,546809,546768
"675",2474159,2823537,552044,546758
"676",108956,2479415,555387,546824
"680",2217426,4616861,555388,555352
"682",746530,4380763,555389,555351
"684",3530330,3800011,555389,555352
"687",3634631,4116084,555389,555353
"688",696729,3634669,555389,555351
"690",1575276,3799925,555389,555352
"692",480489,4116135,555389,555355
"694",3969065,4576900,555390,555352
"695",3534391,3968987,555390,555309
"697",435742,3901622,555390,555303
"700",2539691,3875066,555390,555355
"702",2469257,4433874,556916,555351
"705",2280844,4494706,558319,558210
"707",997340,2469143,563971,557953
"711",3355283,3623195,566597,565747
"713",2615325,3483134,566921,566883
"714",2318508,2615281,566921,566877
"715",354966,2318458,566923,566871
"717",2445439,2449323,569691,565867
"718",2444206,2445578,570858,569552
"719",1629695,2445367,572685,569706
"723",3851799,4182785,587672,586702
"725",3974908,3976535,592990,591360
"726",3973614,3975003,594277,592895
"727",3310345,3974728,595384,593163
"729",927923,3978126,600104,595137
"732",3347931,3347909,602483,602449
"733",2319927,3347965,602485,602449
"736",2425647,3448337,612346,608173
"737",2423926,2435580,613637,602449
"739",1748372,2725779,617443,614385
"741",2423494,2423968,618967,618017
"742",2415271,2423880,619193,618581
"743",2412560,2415514,624015,618977
"744",1446834,2413861,624339,622717
"746",134976,3378626,624719,624285
"748",2409699,3030236,625586,624284
"749",2403695,2411156,626942,624130
"751",4576870,4714949,632145,629825
"752",2342068,4576832,632182,632107
"754",2894390,4380806,632183,632112
"757",3417917,4449609,632184,632107
"758",2894231,3417951,632186,632150
"760",2399069,4710328,638960,634777
"761",2397642,2401023,639360,637035
"762",2392279,2397995,640837,639007
"763",1613172,2393749,643613,639366
"765",908257,2385786,647302,641032
"768",2642430,3565395,651162,651033
"769",949819,2642336,651479,651068
"773",2077934,3517396,656230,656108
"775",3046796,3623067,656232,656106
"778",2705839,3817902,656246,656106
"779",892249,2705697,658063,656105
"781",891545,1200020,658773,658006
"788",2358888,3694643,667880,664808
"789",2357803,2370589,668948,656234
"790",2356677,2358308,670178,668443
"791",1717417,2357578,671114,669275
"793",65520,3008542,671136,671021
"795",2354068,4218600,672850,671015
"796",2353513,2356672,677884,670239
"799",2342245,3132437,690333,689822
"800",2340474,2353297,691879,679289
"802",1118106,4603123,693121,692933
"803",748586,1117889,699201,692906
"805",1064882,2101753,703516,698491
"808",2320552,2340187,711808,692099
"809",2319933,2327505,717042,704855
"810",246549,2320507,723801,716477
"812",1017910,2142716,726930,726704
"815",2078385,2615327,726934,726887
"817",461579,2606385,726940,726887
"818",354911,461830,726942,726689
"820",1619352,4321681,727108,726665
"823",2451102,3880910,732717,732674
"826",3901618,4389039,732722,732674
"827",111499,3901578,732755,732682
"829",2036261,3162336,732762,732685
"831",538805,2342144,732762,732683
"833",2162806,4377214,732763,732683
"834",603988,2162721,732763,732678
"836",633454,1868851,732763,732685
"838",3901710,3914455,732764,732682
"840",597882,4380809,732764,732683
"842",435741,4171401,732764,732684
"844",3634629,3823876,732766,732683
"845",2509067,3634705,732772,732685
"847",2308189,3960260,737232,736879
"848",2307610,2312680,738085,732782
"850",2307610,2307978,738203,738002
"852",2307720,2308094,738204,738121
"853",2307416,2307795,738327,738129
"854",2307610,2307497,738416,738246
"856",2307895,2307969,738526,738342
"857",2307721,2308086,738526,738342
"858",98860,2307796,738713,738451
"861",360267,4389036,747030,740803
"863",2294687,2308126,751327,737971
"864",2289549,2298719,761397,747293
"866",2285746,4020185,765775,763470
"867",2276962,2289451,774718,762070
"868",2272072,2285727,781085,765917
"870",3443627,3443162,782181,781715
"871",3442639,3443472,782186,782025
"872",729804,3442482,785095,782027
"876",2451102,4388907,794780,794746
"877",2261451,2451068,795833,794746
"878",202054,2262503,799457,794781
"880",2252420,3422134,801227,799868
"882",1685237,3851497,801315,801236
"883",1575112,1685157,801315,801240
"884",629128,1575197,801316,801231
"885",226584,629200,801316,801239
"887",8735,3628071,801316,801235
"890",3782987,3831315,801317,801285
"892",2969785,3823796,801318,801238
"894",4012783,4149577,801318,801239
"895",3780534,4012821,801318,801280
"897",4361259,4437809,801319,801285
"898",598074,4361189,801319,801239
"900",2576322,3700324,801319,801240
"903",2576486,3865893,801319,801284
"904",2252348,2576405,801319,801239
"907",332300,3700243,801320,801238
"909",144142,4057591,801322,801279
"911",2355796,4218517,801696,801401
"914",3586932,3588545,803991,802384
"915",3585254,3587390,805696,803533
"916",2576242,3585798,805832,805152
"919",2823550,3715761,805832,805794
"921",594320,4643138,805832,805795
"923",395343,4436098,805833,805795
"927",3602373,3742892,805835,805797
"928",435742,3602414,805835,805793
"931",3780502,4557066,805872,805798
"932",3527600,3780590,805872,805791
"933",332334,3527676,805872,805797
"935",4388998,4388950,805873,805798
"936",3700288,4389073,805873,805798
"937",2576288,3700365,805873,805791
"938",2576370,2576369,805873,805787
"940",3581691,3583274,807868,806295
"941",2245928,3582947,807949,806622
"942",2245525,2252161,808596,801716
"943",2224559,2245595,812399,808526
"945",2355873,2918566,812501,812434
"948",3623185,4218493,812523,812424
"949",3517518,3623075,812529,812413
"951",3429612,4482440,812529,812406
"953",3046797,3817897,812530,812410
"955",3957929,4464604,812537,812449
"956",2224126,3957798,812956,812405
"958",2733983,4072862,818843,813830
"959",2218306,2734038,818856,818788
"960",374316,2224128,818858,813040
"964",2217595,3760839,818946,818888
"967",377504,2929705,819050,818995
"970",374640,2217970,819063,818780
"971",374518,374715,819065,818988
"973",2218306,2734038,819142,819074
"974",374316,2218381,819144,819067
"976",2217681,2218323,819147,818938
"979",2218303,2734038,819270,819199
"980",374310,2218382,819275,819191
"985",2733983,3760839,819464,819300
"986",2218115,2734038,819477,819409
"988",2217684,2218381,819479,819402
"989",2217886,2218032,819485,819125
"990",2217550,2218190,819513,819192
"991",374273,2217603,819522,819460
"993",374273,2217636,819677,819584
"995",374273,2217636,819832,819739
"996",374273,374335,819986,819770
"997",114188,374335,821936,819924
"1000",2212708,3656361,824827,824042
"1001",598041,2217636,836313,819893
"1003",2252315,4012780,836313,836278
"1004",619830,2252349,836316,836279
"1007",459662,2014238,836358,836276
"1009",2853374,2940723,836361,836280
"1012",3602528,4208560,836364,836283
"1013",3342473,3602609,836365,836284
"1014",1320871,3342515,837338,836323
"1016",2199316,2209254,845543,834524
"1017",2194604,2201924,850179,842933
"1018",2183822,2199233,854892,845549
"1019",480496,2188420,858264,850322
"1021",2172358,2183821,866462,854947
"1022",1187989,2174908,871629,863910
"1028",1063397,4168266,880813,880775
"1030",602218,3742853,880813,880775
"1037",60122,4361189,880813,880778
"1042",2742021,4562334,880813,880778
"1043",1312736,2742059,880813,880775
"1046",2539653,4155378,880814,880743
"1048",594355,4643181,880814,880773
"1051",299624,3036664,880814,880778
"1054",22122,4116218,880814,880777
"1057",4084034,4552872,880814,880774
"1060",1065418,4155291,880815,880743
"1063",746492,4562377,880815,880772
"1065",2475897,4155426,880815,880776
"1067",524895,4712546,880817,880742
"1069",3118822,3875099,880817,880778
"1070",2805681,3118861,880818,880778
"1073",199816,4247431,886086,882583
"1075",118163,1370978,886604,886477
"1078",2401204,3336909,887030,886969
"1080",569810,4425369,887050,886971
"1082",22085,2217462,887052,887015
"1084",2509075,2940721,887052,886969
"1085",454578,2509142,887052,886985
"1088",435741,3636488,887052,887015
"1091",3298794,3715758,887052,887015
"1093",2342065,3914453,887053,886970
"1096",746532,4017436,887054,887015
"1099",1043099,3534474,887058,886970
"1101",2146820,2156561,891276,887104
"1104",461589,4247773,895059,894992
"1108",1802190,2606330,895061,894961
"1109",640467,1802232,895061,895019
"1111",1619522,2712415,895067,895013
"1113",1017859,1808923,895110,895014
"1115",2140260,4321637,897338,894838
"1117",2137604,3008479,900106,897426
"1118",1816252,2140219,904376,897490
"1119",788352,1816469,904694,904168
"1121",1958537,3166403,905674,905564
"1124",2130926,3165548,906627,905555
"1126",2097884,2485405,908710,906746
"1130",2124402,3998165,910325,908818
"1131",2097979,2125855,910676,908872
"1135",2821191,4012815,914684,911286
"1136",2116386,2821121,914814,914614
"1138",1293350,4582983,918480,918242
"1141",575854,4582833,918732,918410
"1144",2606313,3509488,919608,918774
"1145",1472381,2606430,919740,919491
"1146",1294802,1472638,919819,919483
"1148",2104924,4583293,925489,923253
"1151",2123572,3217522,940590,938678
"1152",2096496,2123816,941869,940346
"1154",1802392,3082068,950235,950033
"1156",2078800,2096487,958581,941975
"1157",2081186,2079384,960938,957997
"1160",2142490,4321519,961351,961248
"1162",1619527,2197162,961354,961257
"1164",1802189,4488455,961354,961267
"1166",1918006,2318705,961355,961113
"1168",2041767,2606333,961355,961256
"1169",461577,2041668,961363,961256
"1172",2076985,2081827,962592,957938
"1173",1796142,2077769,963228,961806
"1174",1596422,1796194,995054,963176
"1176",2050581,2077003,1011878,1005297
"1178",2046227,2289462,1015714,1011938
"1179",2043380,2049953,1017597,1011986
"1181",3647517,3649072,1024446,1023254
"1182",2036937,3647716,1024980,1024247
"1183",2036190,2043233,1025891,1018691
"1184",1889365,2036250,1025957,1025832
"1185",1889429,1889487,1027464,1025837
"1186",1889169,1889495,1027540,1027398
"1189",2023519,2036250,1039737,1027400
"1190",2019868,2032948,1043557,1030292
"1191",1532591,2023689,1047732,1039714
"1194",1536326,4064432,1048892,1048061
"1196",2012146,2019839,1050753,1043753
"1197",2011327,2013524,1053425,1049375
"1198",198751,2012057,1055281,1052695
"1200",2005677,4173288,1060554,1055099
"1201",2002919,2011199,1063918,1055031
"1203",1999767,3994158,1067963,1064267
"1204",575136,2002915,1071913,1064817
"1206",913261,4581633,1071961,1071876
"1209",1472532,2511296,1071974,1071860
"1211",1982881,1999471,1084657,1067998
"1213",2576235,4361256,1084766,1084699
"1214",1980560,2576274,1087024,1084727
"1215",543810,1982776,1090059,1084837
"1218",977328,2737872,1090818,1089783
"1220",543000,1461922,1090842,1089786
"1223",1973179,1980586,1098224,1087081
"1224",1796504,1974573,1098467,1096830
"1225",1794364,1796646,1100681,1098325
"1226",1793965,1795142,1101095,1099901
"1227",1792310,1794105,1102721,1100961
"1228",1792165,1793812,1102938,1101252
"1229",1790232,1792247,1104750,1102856
"1230",1783515,1791758,1108219,1103312
"1232",1778648,1865271,1109641,1109476
"1233",1777531,1778847,1110774,1109443
"1234",1776410,1778389,1111489,1109910
"1236",1968841,3692789,1146747,1143562
"1237",1961388,1971582,1149836,1144005
"1239",1939186,2131980,1171915,1152530
"1241",1937635,2180057,1175005,1172283
"1242",1937225,1939100,1175438,1173545
"1243",1099505,1937484,1180378,1175180
"1247",2389929,4281845,1190351,1190207
"1251",637836,4181139,1192315,1192277
"1253",1898250,1915373,1206445,1198694
"1254",1897095,1901102,1207537,1203605
"1256",1891085,4282070,1213477,1209161
"1257",1889693,1896998,1215199,1207565
"1259",2036110,4266873,1224825,1218283
"1260",1885991,2036242,1228001,1224692
"1261",1883189,1889485,1230715,1224508
"1262",1414699,1885899,1237287,1228013
"1264",1739085,2589326,1243346,1241354
"1266",1866023,1882955,1247587,1230952
"1267",1778821,1868804,1248263,1244804
"1269",1858691,1865930,1254737,1247601
"1270",1845334,1861126,1268166,1252276
"1272",1841837,4292925,1271762,1270497
"1273",1840419,1845296,1273071,1268302
"1275",1828499,4515306,1286337,1281088
"1277",1826870,2300536,1287843,1286754
"1278",1818822,1828383,1295749,1286329
"1280",1636486,2133373,1298451,1298076
"1283",1812023,4691213,1302369,1299618
"1284",1811954,1815496,1302506,1298895
"1287",1803702,4488541,1309541,1304294
"1288",1808968,1810696,1312715,1302568
"1290",1017910,2142535,1312715,1312670
"1295",2615281,4488483,1312718,1312659
"1297",1619522,4321453,1312724,1312678
"1298",640441,1619575,1312742,1312670
"1299",354612,640514,1313014,1312670
"1302",2088696,3611501,1313042,1312953
"1303",1800282,2088341,1314625,1312687
"1304",1796812,1803716,1319364,1311191
"1305",1742056,1800177,1323200,1316011
"1306",1739902,1745733,1325691,1319473
"1308",1747928,3692886,1333790,1329458
"1309",1732076,1747980,1346478,1333738
"1312",3008420,4218558,1349284,1349197
"1313",1729658,3008508,1352791,1349196
"1314",1726456,1731952,1353623,1350503
"1315",1726054,1727213,1354047,1352865
"1316",1725624,1726303,1354785,1353801
"1317",1719775,1725986,1359813,1354425
"1318",1717526,1724679,1361712,1354889
"1320",1312685,3316472,1361821,1361730
"1322",1713119,1717333,1368360,1361823
"1324",3623193,4464532,1368623,1368469
"1325",1403614,3623157,1369250,1368587
"1326",418054,1403367,1369252,1369003
"1328",1703358,1713095,1378566,1368634
"1329",1700990,1710868,1380872,1371125
"1331",1686060,4382008,1389109,1382195
"1332",1678082,1694242,1397167,1380932
"1333",511343,1685147,1398874,1390114
"1335",1677728,1678055,1399980,1399505
"1336",1675500,1678005,1402264,1399707
"1337",1669789,1677692,1407074,1400071
"1338",939597,1674575,1413484,1402331
"1340",1661955,1669251,1419366,1412143
"1341",1660880,1666340,1420543,1414984
"1343",3656361,3656055,1426171,1425865
"1344",2213604,3656297,1426282,1426107
"1345",1650418,2213187,1430138,1425865
"1349",1644899,3114165,1450246,1436928
"1352",2867019,3625842,1450288,1450249
"1354",2866971,3970739,1450288,1450255
"1356",2115676,4377119,1450288,1450255
"1360",3152216,4649810,1450295,1450256
"1361",1677291,3152256,1450927,1450255
"1363",1636845,3878860,1457836,1456738
"1364",1635445,1642510,1459287,1452171
"1365",1633344,1636767,1461707,1457967
"1366",1533133,1635731,1468934,1459320
"1368",642625,1627757,1475949,1473727
"1370",1058392,2485295,1494146,1483425
"1371",992325,1058295,1496715,1494049
"1373",98860,2680139,1501708,1496579
"1376",1612446,2757597,1501715,1501652
"1377",1612527,1612523,1501802,1501638
"1378",90995,1612605,1508153,1501724
"1379",90210,91095,1508935,1508053
"1381",1587210,1612607,1525670,1501635
"1383",1580638,4534189,1531758,1526963
"1384",1580638,1580788,1531851,1531608
"1385",1580638,1580881,1531944,1531608
"1386",1580638,1580974,1532037,1531608
"1387",1580748,1586975,1532113,1525712
"1388",1580841,1581067,1532113,1531794
"1389",1580934,1581067,1532113,1531887
"1390",1576534,1581067,1536217,1531980
"1391",1575305,1581067,1537412,1531701
"1392",1574061,1576356,1538527,1536361
"1393",1572602,1575103,1539067,1537486
"1394",1567026,1572960,1542116,1538712
"1397",997338,3489097,1543900,1542226
"1399",543810,1566957,1549958,1542122
"1401",1977466,2737873,1550091,1549666
"1403",1976799,2737350,1550785,1550267
"1404",1374710,1977310,1550802,1550293
"1405",977383,1373582,1550802,1549668
"1406",542960,976173,1550811,1549641
"1412",3700302,4557066,1554213,1554156
"1413",1553326,3700359,1558621,1554155
"1416",3517396,4218553,1558779,1558702
"1417",3046922,3517521,1558780,1558654
"1418",2077769,3046796,1558782,1558655
"1421",3817907,4482317,1558786,1558657
"1422",3749500,3817776,1558793,1558655
"1423",2705677,3749638,1558802,1558657
"1425",1549633,4500221,1562418,1558857
"1426",1547039,1553265,1562599,1558796
"1427",373478,1547114,1564171,1562525
"1429",640403,2303960,1569313,1565823
"1432",2016367,4064364,1574965,1574050
"1433",1530353,2014325,1576682,1572923
"1435",2018098,2016678,1579227,1575282
"1436",1532932,2015838,1579230,1576964
"1437",585300,1535168,1587293,1576982
"1439",1522051,3472819,1587512,1586059
"1440",1363778,1546958,1587811,1562689
"1443",1515231,1898511,1594262,1592067
"1444",1506922,1515660,1595611,1593844
"1445",1505868,1508093,1596700,1594440
"1447",1503809,3160331,1598849,1597294
"1448",1501865,1505845,1600178,1596812
"1449",1498415,1503144,1602557,1598899
"1450",1495354,1500738,1603935,1600236
"1451",1188091,1496701,1605005,1602588
"1453",543490,1976828,1606949,1606456
"1456",1462460,2736879,1606953,1606471
"1457",976849,1462936,1606956,1606468
"1460",1977792,2737519,1607450,1607165
"1461",976283,1977746,1607456,1607404
"1462",544018,976368,1607456,1607371
"1466",1471553,4456565,1644701,1637824
"1468",1469413,3456116,1647497,1646022
"1470",1463569,2888711,1654634,1649577
"1471",543492,1469262,1655697,1648898
"1474",1373582,2736879,1656254,1655226
"1475",544099,1374733,1656256,1655141
"1481",1449961,1463288,1669138,1654873
"1483",1445539,3378625,1672084,1670736
"1484",1441926,1447226,1676024,1670400
"1485",1440761,1445376,1678176,1672579
"1486",1439186,1441845,1679303,1677094
"1487",1438860,1440250,1679551,1678244
"1489",1428311,3733176,1688382,1687467
"1490",1426719,1437062,1689812,1679674
"1492",1422026,3008423,1697411,1690889
"1493",1415965,1425796,1701548,1693643
"1495",1410513,1876487,1714684,1710435
"1496",1408320,1415395,1715807,1709819
"1499",1497174,4144220,1716361,1716212
"1501",1481236,3452443,1716377,1715970
"1503",1251685,3705712,1716385,1716213
"1506",1047320,4066679,1716604,1715957
"1508",1045573,3206211,1716656,1715926
"1510",1404915,3374772,1719146,1715934
"1511",1404168,1408152,1730414,1715910
"1512",1399559,1404894,1731204,1729637
"1513",1388675,1400217,1736049,1730546
"1514",1384427,1393388,1739847,1731338
"1515",1374789,1387630,1745927,1736634
"1517",1372697,1737044,1746574,1746220
